lab_id,site_id,c14_age,c14_error,curve
Beta-53300,NSW North Coast,1190,50,shcal20
Wk-5124,Channel Country,1210,50,shcal20
GaK-464,NSW North Coast,1230,50,shcal20
Wk-6036,Channel Country,1290,50,shcal20
Wk-414,South East Coastal Plain,1290,50,shcal20
Wk-5331,Channel Country,1300,50,shcal20
Beta-76605,Sydney Basin,1340,50,shcal20
Wk-5123,Channel Country,1410,50,shcal20
Beta-76606,Sydney Basin,1410,50,shcal20
Wk-6035,Channel Country,1460,50,shcal20
Beta-45593,Victoria Volcanic Plain,1460,50,shcal20
CAMS-45666,Victoria Bonaparte,1470,50,shcal20
Wk-2962,Sydney Basin,1560,50,shcal20
Wk-9147,Pilbara (inland),1610,50,shcal20
Wk-6630,Channel Country,1630,50,shcal20
Beta-62206,Sydney Basin,1730,50,shcal20
Beta-7640,Channel Country,1740,50,shcal20
Beta-53302,NSW North Coast,1830,50,shcal20
Wk-6327,Pilbara (inland),1840,50,shcal20
Beta-39214,Sydney Basin,1890,50,shcal20
Wk-6325,Pilbara (inland),2000,50,shcal20
Not given,Brigalow Belt North,2110,50,shcal20
Beta-39200,Sydney Basin,2210,50,shcal20
OZF-392,Murray Darling Depression,2300,50,shcal20
Beta-39204,Sydney Basin,2460,50,shcal20
SUA-2259,Sydney Basin,2690,50,shcal20
Beta-32614,Sydney Basin,2820,50,shcal20
Wk-4657,Warren,3180,50,shcal20
Wk-8953,Pilbara (inland),3230,50,shcal20
Beta-63204,Sydney Basin,3310,50,shcal20
Beta-52812,Tasmanian Central Highlands,3310,50,shcal20
Wk-11185,Victoria Midlands,3860,50,shcal20
Beta-135851,Victoria Midlands,3930,50,shcal20
GaK-1188,Nandewar,3950,50,shcal20
Beta-135852,Victoria Midlands,4040,50,shcal20
CAMS-44348,Victoria Bonaparte,4220,50,shcal20
CAMS-44349,Victoria Bonaparte,4560,50,shcal20
OZL-759,Victoria Volcanic Plain,5095,50,shcal20
OZL-760,Victoria Volcanic Plain,5870,50,shcal20
Beta-93350,Victoria Midlands,7500,50,shcal20
Beta-87211,Sydney Basin,7860,50,shcal20
Wk-10832,Murray Darling Depression,959,51,shcal20
NZ-1326,Victoria Volcanic Plain,6772,51,shcal20
Wk-17433,Sydney Basin,8206,51,shcal20
Wk-12324,Murray Darling Depression,516,52,shcal20
Wk-10280,Murray Darling Depression,910,52,shcal20
Wk-10281,Murray Darling Depression,1653,52,shcal20
Wk-9337,Broken Hill Complex,357,53,shcal20
Wk-22762,Sydney Basin,3662,53,shcal20
Wk-10457,Channel Country,398,54,shcal20
Wk-11711,Desert Uplands,650,54,shcal20
Wk-17434,Sydney Basin,6078,54,shcal20
Wk-6632,Channel Country,220,55,shcal20
Beta-7062,South East Coastal Plain,280,55,shcal20
Wk-12323,Murray Darling Depression,481,55,shcal20
Wk-6624,Channel Country,720,55,shcal20
NSW-6,Sydney Basin,1220,55,shcal20
ANU-55,Nandewar,2050,55,shcal20
OxA-7368,Victoria Bonaparte,3525,55,shcal20
UB-4370,Naracoorte Coastal Plain,10207,55,shcal20
Wk-6668,Darwin Coastal,434,56,shcal20
Wk-10455,Channel Country,659,56,shcal20
Wk-11186,Victoria Midlands,996,56,shcal20
Wk-12321,Murray Darling Depression,1247,56,shcal20
Wk-6669,Darwin Coastal,1432,56,shcal20
Wk-7171,Darwin Coastal,197,57,shcal20
ANU-62,Tiwi Coburg,550,57,shcal20
Wk-27731,Sydney Basin,1145,57,shcal20
Wk-12322,Murray Darling Depression,458,58,shcal20
Wk-10456,Channel Country,601,58,shcal20
Wk-9533,Victoria Midlands,12879,59,shcal20
GaK-1299,NSW North Coast,140,60,shcal20
Beta-54055,Murray Darling Depression,160,60,shcal20
ANU-656,Flinders Lofty Block,170,60,shcal20
Beta-44524,Sydney Basin,200,60,shcal20
ANU 654,Murray Darling Depression,220,60,shcal20
ANU-11898,Desert Uplands,240,60,shcal20
ANU 672,Murray Darling Depression,240,60,shcal20
Beta-39203,Sydney Basin,260,60,shcal20
Beta-48521,Sydney Basin,260,60,shcal20
ANU-2022,Arnhem Coast,270,60,shcal20
Beta-39206,Sydney Basin,270,60,shcal20
Beta-21544,Naracoorte Coastal Plain,290,60,shcal20
ANU-4322,Victoria Midlands,300,60,shcal20
ANU-11899,Desert Uplands,330,60,shcal20
