C14ID,SiteID,LONGITUDE,Latitude,SITE,SITE_TYPE,LabCode,C14Age,C14SD,C13_AGE,C13_ERROR,MATERIAL,Material,CONTEXT,DEPTH_FROM_SURFACE_CM,METHOD,TECHNIQUE,Data pertinent for time-series analysis or calibration,Open or Closed Site,Directly Related to occupation? Yes/Unknown,SOURCE,NOTES,RECORD_SOURCE,DATE_ISSUES,AGE_NORM,ADDITIONAL_DATA_ISSUES,,,Country
12396,Sydney Basin,151.76,-32.92,Palais Royale,Open site,Wk-26883,5812,31,-24.2,0.2,Charcoal,Charcoal,"TP B3, spit 20",28.5,Radiocarbon,,Terrestrial,Open,Y,AN Williams unpub,Relates to the lowermost assemblage within a stratified sand dune/beach facies sequence containing three discrete artefact assemblages.,c14,,5812,,,,AUSTRALIA
12118,South East Coastal Plain,145.19,-38,Bend Road (AAV # 7921-0735/6),Open site,Wk-23462,1391,32,,,Charcoal,Charcoal,"BR1/N/12, SU 3a",47.5,Radiocarbon,,Terrestrial,Open,Y,"Hewitt & Allen, 2010","An open site investigated by La Trobe University prior to the installation of a new Freeway in Keysborough, southeast Melbourne. The site was primarily composed of a homogenous sand sheet - part of the Cranebourne sands - overlying coffee rock and cemented sands. The excavation identified 8 SU's- SU 1 - 6 is primarily sand of various colours, SU 7 is coffee rock, SU 8 is cemented sands and clays. SU 3a was divided based on the appearance and presence of backed blades. Extensive dating indicated that SU 3b occurred at c.5-6.5ka, while SU 4 is primairly of LGM age. SU 5 and 6 both date to 29-35ka. The artefact distributions occurred in three main layers (spits 2-4; 5-11; and 13-15), the lower two were considered to represent deflation/lag deposits of artefacts, one pre-LGM, and one at the LGM; the upper assemblage containing backed blades revealed conjoins and indicated some level of 'intactness'. Some discrepancy between the radiocarbon and OSL dates (the latter saying the deposits were older) was noted, but the upper assemblage was considered to be mid-late Holocene in age.",c14,,1391,,,,AUSTRALIA
12120,South East Coastal Plain,145.19,-38,Bend Road (AAV # 7921-0735/6),Open site,Wk-23460,2277,32,,,Charcoal,Charcoal,"BR1/N/6, SU 3a",32.2,Radiocarbon,,Terrestrial,Open,Y,"Hewitt & Allen, 2010","An open site investigated by La Trobe University prior to the installation of a new Freeway in Keysborough, southeast Melbourne. The site was primarily composed of a homogenous sand sheet - part of the Cranebourne sands - overlying coffee rock and cemented sands. The excavation identified 8 SU's- SU 1 - 6 is primarily sand of various colours, SU 7 is coffee rock, SU 8 is cemented sands and clays. SU 3a was divided based on the appearance and presence of backed blades. Extensive dating indicated that SU 3b occurred at c.5-6.5ka, while SU 4 is primairly of LGM age. SU 5 and 6 both date to 29-35ka. The artefact distributions occurred in three main layers (spits 2-4; 5-11; and 13-15), the lower two were considered to represent deflation/lag deposits of artefacts, one pre-LGM, and one at the LGM; the upper assemblage containing backed blades revealed conjoins and indicated some level of 'intactness'. Some discrepancy between the radiocarbon and OSL dates (the latter saying the deposits were older) was noted, but the upper assemblage was considered to be mid-late Holocene in age.",c14,,2277,,,,AUSTRALIA
12121,South East Coastal Plain,145.19,-38,Bend Road (AAV # 7921-0735/6),Open site,Wk-19710,2350,32,,,Charcoal,Charcoal,"BR1/N/8, SU 3a",37.9,Radiocarbon,,Terrestrial,Open,Y,"Hewitt & Allen, 2010","An open site investigated by La Trobe University prior to the installation of a new Freeway in Keysborough, southeast Melbourne. The site was primarily composed of a homogenous sand sheet - part of the Cranebourne sands - overlying coffee rock and cemented sands. The excavation identified 8 SU's- SU 1 - 6 is primarily sand of various colours, SU 7 is coffee rock, SU 8 is cemented sands and clays. SU 3a was divided based on the appearance and presence of backed blades. Extensive dating indicated that SU 3b occurred at c.5-6.5ka, while SU 4 is primairly of LGM age. SU 5 and 6 both date to 29-35ka. The artefact distributions occurred in three main layers (spits 2-4; 5-11; and 13-15), the lower two were considered to represent deflation/lag deposits of artefacts, one pre-LGM, and one at the LGM; the upper assemblage containing backed blades revealed conjoins and indicated some level of 'intactness'. Some discrepancy between the radiocarbon and OSL dates (the latter saying the deposits were older) was noted, but the upper assemblage was considered to be mid-late Holocene in age.",c14,,2350,,,,AUSTRALIA
11339,Sydney Basin,151.151,-34.084,"96-98 Loftus Street, Bundeena",Midden,Wk-22761,3643,32,-25.9,0.2,Charcoal,Charcoal,"C15, spit 4, sample 1",45,Radiocarbon,,Terrestrial,Open,Y,"Mary Dallas Consulting Archaeologist, 2008","Site recorded as DECCW number #52-3-1224. Site was a disturbed shallow midden deposit overlying, and occurring within cracks of, a sandstone platform. It was salvaged as part of a development and recovered 1645 artefacts primarily of silcrete and faunal remains of small mammals, birds, fish and shell. All dates were basal and were found in association with artefacts.",c14,,3643,,,,AUSTRALIA
11341,Sydney Basin,151.151,-34.084,"96-98 Loftus Street, Bundeena",Midden,Wk-22764,4151,32,-24.7,0.2,Charcoal,Charcoal,"H15, spit 4, unit 1",30,Radiocarbon,,Terrestrial,Open,Y,"Mary Dallas Consulting Archaeologist, 2008","Site recorded as DECCW number #52-3-1224. Site was a disturbed shallow midden deposit overlying, and occurring within cracks of, a sandstone platform. It was salvaged as part of a development and recovered 1645 artefacts primarily of silcrete and faunal remains of small mammals, birds, fish and shell. All dates were basal and were found in association with artefacts.",c14,,4151,,,,AUSTRALIA
10278,Broken Hill Complex,143.6,-30.8,"26_24014 (Cluster 26, Rutherfords Creek near Peery Lake)",Hearth,Wk-19594,190,33,,,Charcoal,Charcoal,Hearth,,Radiocarbon,,Terrestrial,Open,Y,Holdaway et al. 2008,"Study of several hearths exploring the intensification theory developed in the 1980s. Results indicate sporadic use of the region during the late Holocene, and combined with erosion/deflation, does not support the intensification theory",c14,,190,,,,AUSTRALIA
10269,Broken Hill Complex,143.6,-30.8,"11_18048 (Cluster RC11, Rutherfords Creek near Peery Lake)",Hearth,Wk-19574,235,33,,,Charcoal,Charcoal,Hearth,,Radiocarbon,,Terrestrial,Open,Y,Holdaway et al. 2008,"Study of several hearths exploring the intensification theory developed in the 1980s. Results indicate sporadic use of the region during the late Holocene, and combined with erosion/deflation, does not support the intensification theory",c14,,235,,,,AUSTRALIA
12441,Sydney Basin,150.52,-34.57,Wingecaribbee Swamp (WEP 1),Open site,Wk-13331,1685,33,-24.5,0.2,Charcoal,Charcoal,"Sq. 20E 38N, spit 2",c.20,Radiocarbon,,Terrestrial,Open,Y,"Jo McDonald Cultural Heritage Management Pty Ltd, 2003","An excavation of a peat deposit on the edges of the Wingecarribee Swamp near Robertson, NSW. Excavations were undertaken following a catastrophic collapse of nearby swamp edge. The excavations were focussed on two main areas, WEP 1 and 2, both of which formed transects from the swamp edge to the higher ground. Excavations and bore-holing revealed a peat deposit about 1 m thick away from the swamp edge to 2 m at the swamp edge. The ongoing growth of the peat indicated its formation about 3 ka with a high likelihood of burying earlier sites through its ongoing formation. Archaeological material was found to depths dating to at least c.2.7ka and was generally within 5 - 20 m of the swamp's edge. Evidence of at least two burning phases (possible human) between 1500-1650 AD and at c.1.6ka were evident. Artefacts were Bondaian in nature throughout and indicate an earlier use of silcrete with a later preference for quartz. Artefact focus occurred in areas that were closer and more accessible to the water's edge. Highest artefact discard rates were located at c.1.6 ka.",c14,,1685,,,,AUSTRALIA
11342,Sydney Basin,151.151,-34.084,"96-98 Loftus Street, Bundeena",Midden,Wk-22763,4563,33,-25.3,0.2,Charcoal,Charcoal,"H15, spit 3, unit 1",30,Radiocarbon,,Terrestrial,Open,Y,"Mary Dallas Consulting Archaeologist, 2008","Site recorded as DECCW number #52-3-1224. Site was a disturbed shallow midden deposit overlying, and occurring within cracks of, a sandstone platform. It was salvaged as part of a development and recovered 1645 artefacts primarily of silcrete and faunal remains of small mammals, birds, fish and shell. All dates were basal and were found in association with artefacts.",c14,,4563,,,,AUSTRALIA
11461,Great Sandy Desert,130.58,-22.74,Karrku  ochre mine,Ochre mine,Wk-21268,183,34,,,Wood,Wood/Plant Material,,,Radiocarbon,,Terrestrial,Open,Y,M A Smith unpub,98/3 Wood from mine workings,c14,,183,,,,AUSTRALIA
13403,MacDonnell Ranges,131.37,-24.13,Watarrka NEP23 (Upper Reedy Creek),Rockshelter,Wk-22757,259,34,,,Charcoal,Charcoal,Sq S8 spit 2,,Radiocarbon,,Terrestrial,Open,Y,M A Smith unpub,NEP23/S8/2 dates top of occupation deposit,c14,,259,,,,AUSTRALIA
10281,Broken Hill Complex,143.6,-30.8,"26_24018 (Cluster 26, Rutherfords Creek near Peery Lake)",Hearth,Wk-19598,795,34,,,Charcoal,Charcoal,Hearth,,Radiocarbon,,Terrestrial,Open,Y,Holdaway et al. 2008,"Study of several hearths exploring the intensification theory developed in the 1980s. Results indicate sporadic use of the region during the late Holocene, and combined with erosion/deflation, does not support the intensification theory",c14,,795,,,,AUSTRALIA
10287,Broken Hill Complex,143.6,-30.8,"26_24027 (Cluster 26, Rutherfords Creek near Peery Lake)",Hearth,Wk-19606,938,34,,,Charcoal,Charcoal,Hearth,,Radiocarbon,,Terrestrial,Open,Y,Holdaway et al. 2008,"Study of several hearths exploring the intensification theory developed in the 1980s. Results indicate sporadic use of the region during the late Holocene, and combined with erosion/deflation, does not support the intensification theory",c14,,938,,,,AUSTRALIA
